collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmou3xrc4006oqt5s6xbcss6r,Boise State University,boise-state-university,Boise,ID,,cmou3xrdd006qqt5sc7anpsi2,NCAA_D1,,Mountain West,
cmou7y6to00iiqtoccnzql78p,California State University Fresno,california-state-university-fresno,Fresno,CA,,cmou7y6ud00ikqtoccagchujp,NCAA_D1,,Mountain West,https://gobulldogs.com/sports/baseball
cmou3xres006rqt5sroo5bttq,Colorado State University,colorado-state-university,Fort Collins,CO,,cmou3xrff006tqt5spdnjoc3d,NCAA_D1,,Mountain West,
cmou87s0o00llqt8obrn2et5p,East Texas A&M University,east-texas-am-university,Commerce,TX,,cmou87s1f00lnqt8og9kmz6ie,NCAA_D1,,Southland,https://lionathletics.com/sports/baseball
cmosun0gl005iqtlg3rsb1jga,Iowa State University,iowa-state-university,Ames,IA,,cmosun0h8005kqtlgzn9zgzov,NCAA_D1,,Big 12,
cmou6ba6o00aoqticyii4x4fl,Marquette University,marquette-university,Milwaukee,WI,,cmou6ba7d00aqqticpdxjqz8q,NCAA_D1,,Big East,
cmou7v17l00gxqtfg0hn9bpcu,North Carolina Central University,north-carolina-central-university,Durham,NC,,cmou7v18e00gzqtfgii9a1tv8,NCAA_D1,,MEAC,https://nccueaglepride.com/sports/baseball
cmou7zwi600jiqt182wps2oyk,Saint Francis University,saint-francis-university,Loretto,PA,,cmou7zwix00jkqt18iaqsgumz,NCAA_D1,,Northeast Conference,https://sfuathletics.com/sports/baseball
cmou7v19400h0qtfgytxc7nrk,South Carolina State University,south-carolina-state-university,Orangeburg,SC,,cmou7v19v00h2qtfg67xwvlf3,NCAA_D1,,MEAC,https://scsuathletics.com/sports/baseball
cmou8bkiv00n9qtuw67iv0p5k,Southern University and A&M College,southern-university-and-am-college,Baton Rouge,LA,,cmou8bkjn00nbqtuwq3i8eulz,NCAA_D1,,SWAC,https://gojagsports.com/sports/baseball
cmou8ctpc00o0qtlou8fzrbpg,Southern Utah University,southern-utah-university,Cedar City,UT,,cmou8ctq200o2qtlol6t2tipq,NCAA_D1,,WAC,https://suutbirds.com/sports/baseball
cmossgres0013qti43q75sz9x,Syracuse University,syracuse-university,Syracuse,NY,,cmossgrfi0015qti4tqm0lti8,NCAA_D1,,ACC,
cmou57egv0083qtdw0yqps6gp,Temple University,temple-university,Philadelphia,PA,,cmou57eix0085qtdwfpxjlw9q,NCAA_D1,,AAC,https://owlsports.com/sports/baseball
cmou7y6sb00ifqtoc8y5sldt8,United States Naval Academy,united-states-naval-academy,Annapolis,MD,,cmou7y6sz00ihqtocklg7uf6e,NCAA_D1,,Mountain West,https://navysports.com/sports/baseball
cmosun0fb005fqtlg6yhcnwdm,University of Colorado Boulder,university-of-colorado-boulder,Boulder,CO,,cmosun0fy005hqtlg6guheyu1,NCAA_D1,,Big 12,
cmou3bzf30063qtvo9lhvxev8,University of Louisiana at Lafayette,university-of-louisiana-at-lafayette,Lafayette,LA,,cmou3bzfu0065qtvodm01sdij,NCAA_D1,,Sun Belt,https://ragincajuns.com/sports/baseball
cmorirv0y000rqtm0oi05g3yi,University of North Carolina Wilmington,university-of-north-carolina-wilmington,Wilmington,NC,,cmorirv1m000tqtm0dn123xhc,NCAA_D1,,CAA,https://uncwsports.com/sports/baseball
cmorihv4u000fqth8xhav3tg9,University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,Chapel Hill,NC,,cmorihv5i000hqth8642hp9ga,NCAA_D1,,ACC,https://goheels.com/sports/baseball
cmou7wkjz00hoqt5slulm7vp1,University of Northern Iowa,university-of-northern-iowa,Cedar Falls,IA,,cmou7wkkq00hqqt5swjrwwqte,NCAA_D1,,Missouri Valley,
cmou7ektw00eiqtx8aqk8pgdt,University of Pennsylvania,university-of-pennsylvania,Philadelphia,PA,,cmou7ekum00ekqtx8zgid0z1w,NCAA_D1,,Ivy League,https://pennathletics.com/sports/baseball
cmou74gen00diqtbopd0cv1gz,University of Texas at El Paso,university-of-texas-at-el-paso,El Paso,TX,,cmou74gfe00dkqtboi4lonlfq,NCAA_D1,,Conference USA,https://utepminers.com/sports/baseball
cmoss3uty003rqtao20hszq6b,University of Wisconsin,wisconsin,Madison,WI,,cmoss3uul003tqtaotddkfhet,NCAA_D1,,Big Ten,
cmou7y70i00ixqtocvqf5dc9l,University of Wyoming,university-of-wyoming,Laramie,WY,,cmou7y71600izqtoch8lbz79k,NCAA_D1,,Mountain West,
cmou3xrmc0079qt5sgo4w6bdl,Utah State University,utah-state-university,Logan,UT,,cmou3xrmy007bqt5sdj6v1ac2,NCAA_D1,,Mountain West,
